# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3
-5.758224290847126919e-03	-2.149339887538833510e-02	-9.092009909069782847e-03	8.516857751879824100e-04	1.751196827946935874e-01	-1.113114059594907035e-03	-6.759504422780744370e-01	4.540723188153624823e-04	1.223521439168633680e-04	-3.506431433390085062e-03	-4.607526625589784819e-02	-5.627163947084918433e-03	2.626128773161931214e-04	-8.957010328342555894e-02	2.900660417320620119e-03	4.259335132083781339e-01	-2.442115158596351566e-04	2.536818831034558670e-05	-1.289244183152408844e-02	-7.316159859141878330e-03	5.810426607111779731e+02	5.807062734381623841e+02	2.117893264971455949e+02	4.446762900630288300e+02	4.607263747872640351e+02
-2.101872536383520191e-04	-1.290443384664871195e-03	-1.787008165551700039e-04	-4.597298982435205956e-05	-3.880971160040729701e-02	-7.124984161123767423e-01	-5.476509898838219413e-04	-1.131223353566383621e-01	-1.016416596735870703e-01	-4.305336785119324907e-04	7.571235365917187120e-04	1.389462949413889465e-04	1.819920358058643923e-04	5.590914312930692423e-03	-9.281489458195479880e-01	3.916555120903745298e-04	-1.651924327958526340e-01	2.055840812994131073e-01	7.802426790274140656e-01	3.149195373578760893e-01	1.385416758596846648e+03	1.393926261894317804e+03	1.552952179535994048e+02	1.555708034297485085e+02	1.647080778083953874e+02
-3.135225255530047633e-02	4.790055623455525824e-01	2.180966125008222678e-02	-1.039080129048824408e-01	-1.265305810003171938e-01	6.821732606768885487e-01	3.908173861186102493e-03	-6.357313459359013874e-02	2.542438554794319502e-02	-8.449792099023937728e-03	2.008908421549684964e-01	-1.359092699178906238e-01	-5.068356824073921851e-02	-7.543365389441807067e-02	-1.388494257441094559e+00	-2.784341737308062333e-03	2.493913877383002135e-03	1.959582076236498355e-02	7.642410054385674334e-01	-5.458232255451821446e-01	1.436366425553863564e+03	1.444407938228944204e+03	8.587418488062284041e+02	8.675586010510486403e+02	9.339787505346072294e+02
2.858941964725455597e-03	5.962147138273355735e-05	-8.125926002355558786e-02	-2.521528128163217438e-04	-4.269644288187790056e-06	-1.553915944581064412e+00	-6.569458322393012024e-06	-2.598791796815481600e-02	2.639073810353964513e-03	6.292845354904263349e-04	2.715020977796727764e-05	8.510301060394713513e-02	-5.838230499657074855e-04	-4.082753113646442897e-04	3.647416875874505138e-01	1.680550629265103527e-05	-3.556591557384681385e-02	-6.000088006677804786e-03	-7.544505697788304044e-01	-1.790096958773852998e-01	1.215694759671029715e+03	1.206252350973333705e+03	5.666802447692068654e+02	5.667100904322400083e+02	6.062617432976072678e+02
-2.495964616204255940e-05	2.054933243984300925e-02	1.347264867911931008e+00	-1.368467946059872533e-03	-8.686704599566886110e-04	-7.988231292359297296e-04	2.690555729812062961e-04	1.061109246768206921e-02	9.084903612951340801e-02	-2.160023345622533926e-05	1.487987716922812842e-01	-1.842436370099042597e-01	1.300785917058658878e-04	-4.308949129914383763e-05	6.503588136313687151e-03	-2.868435967448132161e-05	1.084646664274574457e-02	-1.138239776542539494e-01	-9.068884348271777363e-01	2.540389363920387764e-02	1.056049682181795561e+03	1.042953114107473993e+03	3.710235320787909359e+02	3.765417965594848511e+02	8.238464553591721824e+02
-6.177464998982308195e-05	-5.115179295369251707e-03	-6.403286716834687142e-02	-1.735399950996011355e-05	-1.625132246666466107e-01	-1.677556814359951465e-01	-2.378822775591807846e-03	9.638409094728879380e-04	4.128378552885374132e-04	5.731965192304135938e-05	-4.454152908104265680e-03	2.212639601063235220e-02	-1.490030387355354731e-05	-4.247079974087283188e-02	6.472938977442327380e-01	-1.937579629221645311e-03	6.301436252675059581e-04	-1.286051184021051296e-03	1.325506235118180942e-01	5.495374170367144789e-03	1.091506516905281615e+03	1.093345494370553524e+03	9.003371841390064674e+02	9.006006618328827926e+02	9.045498235153414726e+02
-8.001703690994688752e-04	-4.819754475235725200e-01	5.985614257021044937e-02	2.815165999036162072e-03	-2.988976534980916297e-03	-1.274678799018326425e-02	-3.267117822629150717e-04	2.408834844781698181e-01	1.142325872444297286e+00	4.613746328833200961e-04	1.311282764178123839e-01	2.228812529352869609e-01	-1.548212907640995114e-03	5.983545265003318604e-03	-5.580224420823453289e-03	6.622727923515642342e-04	-5.281569717451770618e-01	5.217179836122963765e-01	4.752307380113444668e-01	-1.458231921652383967e-01	1.946553931656477289e+03	1.950250617614608473e+03	8.833089214187995140e+02	9.936281289055567640e+02	1.190007885957388908e+03
-4.646256317693693919e-03	9.117626570203095663e-04	-5.279650602860138514e-02	-1.106462555126273145e-02	-3.694030931478342605e-02	-6.247741375001665586e-04	-6.720120335174871729e-01	4.935693340023496883e-02	6.996436328020067680e-04	1.123842377875211920e-03	1.910087150988787645e-03	-6.675843008583638022e-03	7.572008959245307702e-02	-1.000121634624624861e-01	1.357384105744027846e-04	7.176186905670597360e-01	5.620637066200689924e-02	2.998450602575140119e-04	-2.623772288571280930e-03	1.703816517454291579e-01	6.604607170042082771e+02	6.604005046498327829e+02	6.517785598309581019e+02	1.147990181482519120e+03	1.155330219356515499e+03
3.261013551571287361e-02	2.390133226515295528e-01	-6.536984527696770853e-02	-5.220014437161593635e-03	3.736233716468900096e-02	9.446134510012837646e-03	2.932703999590742690e-03	8.929423567980419862e-02	-6.012307000652838962e-01	7.348588344527119155e-03	2.939803202812447114e-01	6.837498568411111421e-02	2.203800084799164005e-01	-4.829602850953151894e-02	7.541387268556619741e-03	-4.742669657229986284e-03	-1.311582711539720225e-01	-3.752800987599226867e-01	2.316565054001536866e-02	1.386709015584123043e-03	8.810391260582503037e+02	8.814375429859685482e+02	1.722644684757459856e+02	1.748890603583956818e+02	1.821385727659092026e+02
3.366961349301541562e-01	-1.837980780613423376e-02	-4.754778700257844201e-03	-2.300207944116867444e-03	6.290416032081791453e-02	-3.220740672517526104e-02	-2.420104308080295585e-01	-8.260317127859856390e-02	-3.830620252184660512e-02	1.039313948183928082e-01	8.136626545022080520e-03	3.697713964090790228e-02	4.564088735244242225e-03	4.738085595807730449e-02	-3.864096969037073698e-02	7.428721429766734774e-01	-1.981448313134197281e-02	-1.535983505315701401e-02	2.181676120133703347e-03	-3.288870365495791346e-03	1.698522325032681238e+03	1.698541792219307126e+03	5.251289836970291844e+02	6.087179903390233449e+02	6.096687072723830170e+02
