# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
-4.347287915282868186e-04	1.172959752120957162e-02	4.774838783593902125e-01	8.769118688096708743e-04	5.228196330770446681e-02	-2.973591897391621997e-01	-3.440354607254681590e-02	2.636079598890502668e-03	-2.026066958688819628e-02	-5.438169798916066774e-06	9.481235030030127006e-03	1.844893195956630150e+00	-1.929866203804947444e-03	-2.898907401868681608e-02	2.583988051781325179e-01	2.971752019187683461e-02	-2.002343427799450611e-04	9.422148095520790911e-03	5.783479206924886651e-02	-6.713603023766437014e-03	8.612284720490819154e+02	8.622456596730286265e+02	8.293057426998383335e+02	8.303136262486871146e+02	3.025897984469426319e+03	7.007628498965091657e-01
3.038754727961238120e-05	-1.080062126732898170e-03	1.153332821316677479e-04	4.552324555591162765e-04	1.024264601869368787e-03	-2.084839324440790290e-06	2.575534563988666624e-05	3.512360832292067122e-05	-1.536873110681538819e-03	-4.079014640541389299e-04	9.914048958142452489e-04	-2.648437345151907069e-04	-3.732903812927516841e-04	7.196744649147527272e-05	1.804969159628666789e-05	2.123979838872335936e-05	-1.460657709222787511e-04	-3.025701697695311679e-03	1.947829781433044020e-03	8.336833345924733393e-03	6.586668147641000814e+02	6.587116332422688174e+02	6.507114476429567276e+02	6.507115207016856857e+02	6.507117463584088455e+02	4.141038430560294720e-02
2.010688007282824818e-01	1.180932691730298134e-01	7.372014271736709867e-02	-1.753080790766581742e+00	1.259742949457646859e-02	8.832660449202750508e-03	-1.171217289893913965e-01	6.406574578254035923e-02	-9.862722603568600810e-02	-1.806316161925628216e-01	4.234323611185534381e-02	3.443661433810814299e-02	-3.120307450718253772e-01	-5.164554676338063005e-02	2.381351464301180443e-02	5.154123299060101721e-02	-5.090178371691322229e-02	5.356964319944007569e-02	3.765492044671638061e-02	3.445888084292162423e-01	1.105730371645890273e+03	1.106246381308693344e+03	4.468792377894690162e+02	1.021505396639838068e+03	1.022464223790658139e+03	-1.731371677248753627e-01
-1.966752105055719416e-02	-2.078705621354534204e-04	2.741109040945251540e-01	-6.703610829967773799e-02	5.714486392336853848e-01	2.692193984217499531e-02	-1.898241242385140026e+00	2.032085270215972309e-03	-1.396288994310965551e-02	-1.295885868617939994e-02	2.300213988631450227e-02	-2.609857236006883907e-01	5.859195244818482529e-02	1.112191220170352240e-01	3.121909155770327335e-02	-2.627271908758926910e-01	-1.368055148329834214e-01	9.333017286509458221e-02	6.522983845168414847e-03	8.401729119101540577e-02	1.491678715745885029e+03	1.491744990484708296e+03	1.025223431976686015e+03	1.406567379076635916e+03	1.430017019396723981e+03	-7.927943253061588147e-02
-3.715995515736682242e-02	-1.004343127367045840e-01	1.090446716068144362e+00	-3.002150009195922540e-03	2.859188658255624738e-01	3.671996507345878236e-01	-2.738894674696730307e-04	-3.418097728747543362e-03	8.804139110506080574e-05	-2.795763018196910712e-02	-3.103412422051104666e-02	-1.459804986149606965e+00	-8.644524686002389227e-03	4.330853467654353084e-01	-9.411295194500532424e-02	-5.232507691249052096e-04	-2.822720065434522300e-03	5.515630491999041866e-03	-6.075147765620394491e-01	-1.156855095360395397e-03	5.302004149648653311e+02	5.125401491767606785e+02	4.107632227052247913e+02	4.126489455670657094e+02	4.342322767294888308e+02	1.650614280536423506e-02
3.659465367023997766e-04	5.948155452378787208e-05	6.577788435758225721e-03	-4.203574444994038865e-03	-2.184168386337433654e-01	-1.170827925130689656e-03	-6.087471417302032020e-03	2.871992743822009923e-03	-5.522995438274707486e-02	-2.802756766880632453e-04	-1.163658543509899933e-04	1.027997535626227945e-03	8.104445670838554897e-03	-1.111133643024666551e-01	1.586172200639437632e-03	-9.272783131811747001e-04	2.053588332633273915e-04	3.840340797195513911e-01	-2.913331532637174724e-03	4.522346741884881727e-01	3.899145928724493615e+02	3.898013345402606546e+02	3.681651930509243016e+02	3.795224949663757457e+02	3.966744006775041953e+02	5.146958622641827352e-01
6.430561489412678355e-01	-3.164255929017381619e-01	-1.622415013432893655e-02	-8.734512422214542327e-02	-1.090708113441469784e+00	7.836909046158854059e-03	4.886688394235386840e-02	-1.073086724621384776e-02	-5.932430464544784189e-04	-1.578629962186604452e+00	-1.288980198657169174e-01	-7.767603406912271767e-03	2.184740883409089784e-01	-4.358487125919136562e-01	-5.488778979541026996e-03	-5.291982948908920126e-02	-8.978590816395664448e-03	-1.578420611206754129e-03	-1.284510126121600785e-03	6.192277305745156474e-02	1.879679123379062958e+03	1.879668766195499984e+03	9.920869167131432960e+02	1.057780494099037014e+03	1.124659897657178135e+03	-3.974621771402896131e-02
-7.449507530927595685e-04	8.675333422036355865e-03	-2.725452599294327007e-04	8.536784320865889800e-03	-3.883108006366757514e-02	-2.829675082042814194e-03	1.864843577719460868e-02	1.176606134574131185e-02	-2.438050258062146869e-01	2.410906358274920135e-03	5.819482387048573700e-03	2.221627120358647906e-04	-2.792386676249187724e-03	9.005992897778007959e-04	-2.824465590330802432e-03	-1.329467548060345866e-02	-8.049929972814817355e-03	-3.431533964149674487e-01	9.776050001384295474e-01	1.326574489051433187e-02	5.934023183629698224e+02	6.178669882534463795e+02	6.031749491093685265e+02	6.032001790854645833e+02	6.068588540658755619e+02	3.458472676435667137e-02
-8.550403592964798613e-03	7.674913405557899117e-03	-4.393433833100716425e-04	7.872675499217450523e-02	1.000398216262588132e-02	1.527917480251961946e+00	3.228402628529349755e-02	2.415004299665026929e-02	4.427596952040759384e-03	-1.497949476692691118e-03	-2.406908226013185909e-02	-1.818152098215971343e-03	-1.655548507194238295e-01	-6.066425423550416383e-04	7.281934719361107256e-01	-3.599310943532567277e-03	4.551162649780265412e-01	-3.293844500754510712e-02	-7.649838677522391439e-01	-7.698555970636373515e-03	9.517585669707406169e+02	9.394977746073793696e+02	8.858361393560805936e+02	9.220718708350289035e+02	1.476395254862954289e+03	2.374166750593521280e-01
1.909667940084095296e-03	-6.788802759635075290e-01	-3.512138990866399413e-02	-4.803755392465084983e-01	-3.738626645535559345e-01	-1.889862365953941595e-02	-1.751152321402692946e+00	9.562403670751050411e-02	6.144354447930044927e-03	2.825474325520571997e-03	-3.204566592065005715e-01	2.397340142409264477e-02	-1.575547878910274133e-02	4.174521748767415774e-01	-4.859139066692495790e-02	2.952906808359116730e-02	-1.138941591163237788e-01	3.098700433320729711e-02	2.354136474057661778e-03	-4.579738845530960112e-01	1.310428967833914612e+03	1.310456194865943189e+03	8.240224283726832937e+02	9.739116849508203586e+02	1.029788293866068443e+03	-6.065979658635477917e-02
