# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
5.750170871221797373e-04	1.998272061023965117e-05	-3.187758285995094098e-03	-8.854101481914729765e-04	-2.095578964373426777e-04	7.918086121854516564e-05	-1.663589488179523235e+00	-7.642916714718850368e-02	-1.241107498026839037e-06	6.598297354082742765e-05	-2.357054947468039709e-04	-6.714871981407399652e-03	-2.164541490618626641e-04	3.812377334932911524e-04	4.698693493244093344e-04	-1.656124267749935486e-01	7.677374246267448799e-01	-2.313848258392118779e-06	8.975408711598790168e-01	-2.998555564538309404e-01	1.627643772453321844e+03	1.635980023813883008e+03	7.153700190901735141e+02	7.510006486106334478e+02	7.606417971369429551e+02	-2.129511989559716711e-02
-4.306922907889726426e-03	7.198428047168994315e-01	-9.679979404666909648e-01	1.567321536408551597e-02	1.877226266469402827e-01	-1.977984303883099648e-01	4.511806181158986573e-01	6.024724397467189768e-03	-1.231465983816017185e-02	-4.422428204115374725e-03	2.411320647146088791e-01	1.475758195405811879e-01	2.181317942063852166e-03	-5.869950451176725315e-01	-1.189851287064433549e+00	4.005362589686596864e-01	-5.326271855682396293e-04	1.931227943907579819e-02	-1.012773625638211175e-02	8.505114525962986088e-03	1.553694118686581533e+03	1.553595320873312176e+03	8.598973279834647201e+02	8.653285304856099174e+02	8.787078283679110200e+02	1.071297591815919062e-02
6.147514838581120099e-03	-1.818153875128994965e-03	7.598772011801728752e-06	1.182527391835608288e-03	5.030582312420286278e-03	-1.220878793956841658e-02	1.326342186633514830e-01	4.831750526057074779e-01	1.784683508047370248e-05	-5.476297807528764973e-03	-1.874073496397636509e-03	4.724528437227944660e-05	-1.211654395275125074e-03	4.049978672230292349e-03	1.324300780400691248e-02	1.569079257528730453e+00	-4.084285274696207446e-02	1.805395698768465525e-05	1.594820573358201321e-01	1.882354561076702085e-02	1.084082397270659158e+03	1.086309756557205674e+03	6.874689263139375726e+02	7.588868536588631741e+02	7.663595850085386019e+02	-4.151926828503726269e-02
-5.926478203853191573e-01	4.541034333610369789e-01	-1.232896985121735740e-03	-9.820635799691501688e-02	-6.834417267518018146e-01	-2.540073011222516997e-02	8.787391269778732639e-02	3.359447457669874869e-03	-1.650700481737641612e+00	-7.569803763156383522e-03	2.702723205054429270e-02	-6.109853787811972414e-02	1.803932454123069462e-01	1.115608893375629185e+00	-1.124911710031097252e-02	-1.800596948308423040e-01	-3.699669087715003711e-03	-7.963752468376879001e-01	-2.388883785999969169e-03	5.993901594721366966e-01	1.826576952632929078e+03	1.826557130696984132e+03	7.980650951442813721e+02	8.113701080320405481e+02	8.243155581478330305e+02	1.128140380999832076e-02
-1.816784200936389509e-02	8.423690431726434114e-02	-2.505273346696867964e-02	-1.376491404656118966e+00	-3.985710989208287452e-02	-2.004750317314914383e-03	-4.884201378955679157e-02	6.961944644429204909e-02	9.719592409121344256e-02	7.057291215458508932e-03	-5.601021785089824734e-01	2.839987470251727208e-02	-1.214683450338801318e+00	4.645374471690872503e-02	2.145257309927239495e-03	-6.095974851396768895e-02	-1.713784407593129111e-01	-6.459920589866183227e-02	7.228662972435551635e-03	-1.243834686716054766e-01	1.391374315564160497e+03	1.391453054287506120e+03	8.240757710988414146e+02	8.907729389527394233e+02	8.983691607151101834e+02	-2.459166904865753636e-02
-7.737833599046149008e-05	7.989926325610425509e-05	-8.446466147598285503e-04	-4.007181563733888482e-06	1.905756006927396468e-04	1.264913437831127307e+00	-1.399413464187228165e-04	-1.007816093324099271e-05	-1.335747447766381761e-02	7.939119963847743387e-05	3.158573652689140279e-04	-2.789448983443281165e-03	1.178769764705946199e-05	-1.209070880584463227e-03	1.982586895107484870e-01	9.997737317355169301e-05	-5.289538359957792510e-05	1.018792228707922874e-02	-2.880570887833581659e-03	-1.036727083474107058e-03	1.185675573092320974e+03	1.185638751200243860e+03	1.164684785698497990e+03	1.164684982082460692e+03	1.370404524648670076e+03	1.077280532641884392e-01
3.880708823068682077e-04	1.059263962892036896e-03	5.925961891481914753e-03	4.827197360510658564e-02	3.323397920463565247e-03	-2.106160039285414481e-02	9.081182405277605785e-01	1.147997351899551904e-01	-3.524651109295335542e-03	-2.382465219803469756e-04	-3.739206737805251483e-03	-1.884623525711680292e-02	1.091703670397776438e-01	6.909269614100815339e-03	5.044574692775892488e-02	1.662451091385309887e+00	-6.326065799930677414e-02	-7.798638261243450364e-04	1.838440336672388445e-02	-1.206100166895258995e-03	1.347698117674113973e+03	1.347904850895727350e+03	8.967804495019900060e+02	1.358422978894849621e+03	1.360207928982839348e+03	-9.462840710746461825e-02
-1.231747749700242735e-02	-4.170313445970633831e-02	7.574040348546692142e-03	-1.324608269696060381e+00	-7.011234933206991760e-02	-1.813109652955857166e-03	1.523440838815869613e-01	-6.225510299715798501e-01	3.004085073273730921e-04	-1.368796476890347339e-03	2.551888669359504355e-02	1.471869316226379065e-03	4.132013352987365939e-01	-1.863751039969021028e-01	-5.557769677728344529e-03	-7.912638967545654323e-02	-9.921122838962176393e-01	7.031773600303616771e-04	-1.324166188404122266e-03	-1.486290463442453968e-01	2.365534327818504153e+03	2.365525843818091744e+03	1.358683886737110697e+03	1.373733319235651607e+03	1.413058802563567497e+03	-1.968447349884162520e-02
-1.053370872359502969e-01	5.092904633635824546e-02	-1.251612224028119877e-02	-3.477937497329377289e-04	-2.498367662138543385e-05	-2.490570482091705533e-04	-1.498359222048624595e+00	-2.715295469452412291e-01	3.470313133410106394e-06	-3.924066974870754620e-02	5.776756891205034328e-02	6.063454690068768860e-03	4.892695221213064297e-05	2.617317976285465312e-03	3.654670742891174629e-04	1.222749114697158968e+00	-3.264916548959244103e-01	-8.794793227075498781e-04	-8.249882170240256940e-01	3.969731221856502290e-01	1.362995632094522989e+03	1.353790948156699415e+03	6.060414083112557364e+02	7.021151263409547028e+02	7.071273063228650244e+02	-3.809370087781262931e-02
2.572852730319461489e-01	1.786262846015291839e-01	-2.776347777070690692e-01	3.614189888835032255e-02	1.160494675785255225e+00	-4.255159625359231090e-03	2.454798242259520480e-01	4.400927249875642711e-02	1.784999430594341074e+00	1.052667242470718856e+00	-4.065035977138535539e-02	-4.683826638514748120e-01	-2.008735845947548226e-01	2.290213786785050831e-01	-2.954183511717130978e-02	1.813738921602469911e-01	-5.462823004133691290e-02	6.644875626552854131e-01	2.120388075276166337e-03	-4.140050542337179312e-02	1.672310395147485451e+03	1.672329612016553483e+03	4.240292889767800943e+02	4.247461646581652985e+02	4.386163816858033329e+02	1.338061691402217361e-02
-1.104467183899592531e+00	6.262249716155030566e-01	-2.485117434220795833e-03	8.077038072747179734e-03	7.171837861135737721e-03	-5.839520413393108761e-03	-8.396057944016223351e-02	7.808170353540908916e-03	6.646914081951779685e-02	-1.404068324103632692e+00	-4.928420722331215420e-01	4.555972119866434633e-03	3.644649677550250953e-03	-2.979017903134489192e-02	-1.520986078546229629e-02	-3.455284749058808863e-02	-1.062762037089190655e-02	-2.701818919069549074e-01	1.261788488561210600e-03	9.144169629187915982e-01	2.104698960491269190e+03	2.104708046691427626e+03	1.317374767286245515e+03	1.385292010715414335e+03	1.400088190272774000e+03	-1.889590942629493925e-02
-2.700121264717935169e-04	-3.507875945628269109e-06	-2.147136234405229503e-04	1.406651990072341034e-03	-5.307888934279788445e-02	4.519379275262804647e-04	9.485553421113810391e-01	7.342555343269859328e-04	3.068442569524505031e-02	-6.858339169305180090e-04	-1.099370997257824361e-05	6.610428201112624438e-06	-2.524137317157484277e-04	-3.452925446415612554e-02	1.879491033709412547e-04	1.519654459908884370e+00	-4.149250016194665669e-04	-1.915337887710755194e-02	-1.832752824733114910e-03	-8.257071001710579103e-03	1.235251763683767649e+03	1.235229276294871624e+03	6.849368567402814278e+02	9.893843946612959144e+02	9.896410229556147442e+02	-9.597072139455242734e-02
-1.807229897502604654e-02	-1.043629703996722807e-02	-3.961011444008360853e-03	-6.126263171078382141e-01	4.884759972624080036e-04	3.465029343261408212e-02	-3.413238128095866675e-03	2.584915169433582571e-01	1.679448962353741193e-02	2.760919112819838241e-03	1.934566438980285241e-01	-4.758946905671158412e-04	-1.803200216240870235e+00	-4.602349885154973994e-03	-1.174186558560065194e-02	8.668290485690776162e-03	-9.044618422036003746e-01	4.822174035715272138e-03	-6.590350479391102745e-01	-4.611869270512080066e-01	1.906141638885142129e+03	1.900894311129830157e+03	8.028781598634083139e+02	8.262870821239085899e+02	8.342558103318611984e+02	-1.037369366299436928e-02
5.222340382572431272e-01	1.319402889946769825e-03	2.421885141569873195e-02	-9.639230744392864869e-01	-1.568559524259563187e-01	1.032892462948104342e-02	-1.700264395765200831e-01	9.873564720763970959e-01	1.442912111828860422e-02	-3.579603249576824298e-01	3.770102799991797093e-04	3.730672908959437734e-02	-1.549945900207946314e-01	2.278942966051357433e-01	-6.891208205244643559e-02	-2.032656854634188881e-01	-2.531068350744242745e-01	-1.197959830240780815e-02	-9.473208375053783215e-01	1.315770291779019959e-03	1.404978874743335837e+03	1.394722306642050626e+03	5.198397135944545653e+02	5.223741981397234895e+02	5.314710171383291026e+02	-1.544214687227572942e-02
3.464983339154289327e-02	6.137289982314953971e-03	1.965415782308803979e-03	-4.876131019207216241e-03	-1.343104086615575898e-04	-2.110905220956709903e-04	-1.750059893921087850e+00	-3.562737684750229283e-02	-1.606363399142020625e-04	-1.270598413368415613e-01	1.548991078245619615e-03	5.663529482200465801e-03	-6.791638165282909770e-03	-2.901806611205294865e-04	-5.934959803992530605e-03	8.514331052373351749e-01	-7.325121632542593020e-02	3.864604341088159886e-04	1.957743666753516132e-01	-4.228377162134886458e-01	1.135740857360484370e+03	1.138350401199584667e+03	6.058730887062658894e+02	6.341636624723040541e+02	6.342128481680732648e+02	-1.174375795585697393e-02
-2.211394768292741231e-01	2.516179701885948999e-02	4.680366229282720454e-03	-4.289975639976775779e-01	-5.591133865702380135e-01	-2.638991806428096863e-04	-5.486614715057497316e-01	3.218845060913494427e-01	-1.486526179947094285e-03	8.950918049243718200e-02	6.305466855898869682e-02	2.139986720326356694e-03	-7.802170648659599583e-02	-6.890792195739434134e-02	-9.792086748410208132e-04	1.016175328026605706e+00	-6.761497835736356155e-02	-1.591713482929689265e-04	-1.790444851154372437e-03	-3.824138144600885275e-02	1.166650627836459080e+03	1.166627367760886045e+03	8.941075386510136696e+02	9.086905235875376547e+02	9.141422312387870761e+02	-1.386539484370410795e-02
1.736330274274329932e-03	-3.704023943972468633e-03	-8.529157603726808881e-03	-4.057692401280402092e-07	-1.277316270129883109e-04	1.390928139929324952e-04	-7.281359524095793237e-05	4.545227638978995705e-02	2.271828043167348557e-02	4.591359423772899302e-03	2.418444286751633351e-03	-2.395562510694589434e-02	-1.314549595203739682e-04	2.853922621565344172e-04	-2.200544444256956713e-04	4.081054808137295664e-04	-3.248008331952985644e-03	3.097817952934830976e-01	3.812266567646004772e-03	2.435006807654978896e-03	5.029311634835246991e+02	5.030460348485207760e+02	4.910668291442656823e+02	4.910950551626038987e+02	4.923897295124995139e+02	2.774296786579861715e-02
2.807042305254968916e-03	1.147702169245575681e-03	1.087250793841569065e-02	1.216053200346506991e+00	3.469792793720748447e-01	-3.733724520095497057e-05	-1.934282000111202555e-03	4.302270960090317110e-04	-4.239240151858892745e-06	4.831662561270648470e-03	-6.528433744605677616e-04	1.301544225734641361e-02	1.501335941449823075e+00	-2.810461951325141650e-01	-3.194748666003323991e-05	1.980270346958219654e-03	1.291120192367365728e-04	-2.324340524702865699e-05	-3.732746890942977708e-02	-5.062276863729282123e-02	1.445418887261502960e+03	1.445027433660716952e+03	7.179440203086302290e+02	7.557953977133631724e+02	7.579281727053743225e+02	-1.413360268596258566e-02
1.703527984629808201e-01	-2.950350268558392993e-04	-1.179886805082622399e-02	7.045880131451353057e-01	-6.669998496480601322e-03	-6.768143929373462639e-03	-1.144251628272131838e-01	-5.503257445297344841e-01	-2.060993292826284254e-02	-1.954151637229006588e-01	-8.567499791689730821e-04	5.042463013122118476e-03	-3.352289070190340725e-01	1.129943690979557380e-01	-1.501297710344066515e-03	-9.467910229570399017e-02	2.166232514162865219e-01	-5.178042006855489848e-02	1.849936187028475331e-03	-3.745494764327540471e-01	7.411242319820557896e+02	7.411620624151333914e+02	5.561641804968286351e+02	5.658534859754181525e+02	5.762298257761724471e+02	-5.011238768256461029e-02
-5.876825338336579829e-01	7.307426326490108932e-03	-4.084640191707024359e-02	-8.201816795351944689e-03	1.768821815887193852e-02	-2.237321425663620356e-01	1.932492884983279952e-02	5.102884006223097346e-01	-1.775704821349107995e-02	-7.884861668931504308e-01	3.310297675663213552e-03	3.062123663706460899e-02	6.328541392150732921e-03	-4.469258905871764664e-01	-2.121075617992626561e-01	-4.490082637256168194e-05	-3.730049962436298716e-01	2.187118307669489725e-01	1.437076012408215406e-02	-7.600808551841038430e-01	1.004777053717184458e+03	1.004993799100138972e+03	5.272581605913511567e+02	5.381804512284506927e+02	5.516537450575780213e+02	-5.339558632476535532e-02
1.631938569538150086e+00	2.620585611388910781e-03	-1.595674466488410659e-01	1.140927603563507975e-01	1.516165428978862584e-01	1.565317726739584407e-03	1.692025664543216458e-03	-1.515551454756697558e-01	-1.425999851290819798e-03	-7.900798725030483416e-01	3.778102943378910256e-02	-3.292578495989720855e-01	-6.971763971792419717e-03	-1.116033957211087779e+00	-1.108571507839368163e-02	-1.582793620861594822e-02	-4.743234625379608160e-02	-6.826674129675695119e-04	-1.371871746622915431e-02	4.621198950964741647e-01	2.015817465461483380e+03	2.015714317634689905e+03	1.221872905343193452e+03	1.293374055026300312e+03	1.334770788000690118e+03	-2.661406397686248357e-02
