# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
-3.501992534838192881e-05	2.979857167640941884e-01	-9.692593344309224923e-01	1.230931571187793977e-02	-6.424209913825539714e-03	1.286212446993990031e-02	8.492926740293703218e-06	-3.107005266868451739e-03	3.129538927410423048e-03	4.305719841669782542e-04	3.578778132738601458e-01	8.072319516158801278e-01	3.657632367011830893e-02	-1.598184906497542067e-03	-1.475119568990401579e-02	-7.166518707175261902e-04	8.507587655619937295e-03	4.477408756407444488e-04	1.296599180345032153e-02	-2.945045325568027561e-01	6.111042526696421646e+02	6.114257392718792516e+02	2.741182096557834029e+02	2.748624883065787685e+02	2.796094053791322267e+02	1.259919450541553861e-02
1.551394470780050328e-01	-7.103263994037986029e-01	-6.242922341905519663e-04	8.668750433617403509e-03	-1.824504067593618051e-01	3.881710987496658685e-03	-1.355359681220592947e-04	1.222898383223500500e-04	8.477657706301164678e-04	-1.661950390967599667e+00	-6.618635165622631378e-02	5.802951335262606725e-04	7.782917371313465005e-02	2.290761896076727588e-02	1.321396151758718468e-02	-2.573878199795411699e-04	1.383182796505044807e-04	2.689759657708554619e-03	3.855928882941687119e-01	1.384413195499974436e-01	1.891024447960070347e+03	1.894112354116079359e+03	1.128712687500700213e+03	1.170368020551988366e+03	1.180414803896687999e+03	-1.568715597527831768e-02
-4.285405156508049194e-04	7.856232196129074585e-02	1.989955021016198179e-03	4.358663555103924753e-02	2.420687515900189074e-02	-4.248614597287971826e-05	-7.630156544702988430e-01	1.247399394126833764e-03	-1.190802223645609547e-03	1.790242763185118124e-04	-7.799082169796633934e-01	2.033917081292513406e-04	-9.390201177716918368e-03	5.115249486499605890e-03	9.964291508104568523e-04	6.022208561582723663e-01	1.959611367822009387e-04	-1.488782505965893007e-03	5.479295723155316357e-03	-1.083699996296369223e-03	1.038441063595779497e+03	1.038521030968563764e+03	7.982442802084224240e+02	8.161314622371130554e+02	8.492868112996978880e+02	-6.347458710637808588e-02
1.008897750605318162e-04	7.806536300775223711e-06	8.573892300882932533e-06	-7.692166325835764386e-06	9.787830901051432057e-05	3.032484995569172015e-08	-3.152999515649237039e-05	-1.049608516354622766e-05	1.029044412945584068e-04	-3.433664826187659067e-05	-3.005513589506623025e-06	5.680594210858315683e-06	-6.200622143066447978e-06	7.573657165604114267e-05	-9.517106769320285814e-07	-1.337690785866273352e-06	-5.724422575002881427e-07	-1.920431703995992148e-03	-7.390142536040030657e-03	3.245703661267700709e-03	3.745920396919530049e+02	3.742929135508267677e+02	3.618917425798153431e+02	3.618917425925425277e+02	3.618917579858053273e+02	1.154835026592833033e-02
5.100030671986816207e-03	-8.861577381949371909e-04	-3.897612135216803851e-03	7.498805799481359467e-03	-4.991347214162646373e-01	8.685012473412585809e-03	5.430280495912775951e-01	8.074518454750963595e-03	-3.043835784307277054e-03	1.337966131163650799e-03	-1.798023142946326075e-05	-5.352236718558434775e-02	-2.566640539103204593e-03	5.595260548386086219e-01	7.781500930046963277e-03	1.063572665278854856e+00	7.511194161852348915e-04	1.597655162200198060e-03	5.386495819438174015e-01	8.407180968192445869e-02	1.196294488855276086e+03	1.203099384035523826e+03	8.331210936858435616e+02	8.458234313378677598e+02	8.540464003183120667e+02	-1.721564814764316165e-02
3.463050661898728604e-03	-5.382159251549624955e-04	-2.967784044048215166e-04	3.176547052734938863e-03	-3.248040846904866547e-05	9.163380382896634804e-04	-3.431412607382922715e-04	-4.482357670012591163e-04	-5.561086694424352246e-04	2.963647293711606928e-03	-7.685612596097346049e-04	-3.010767320066031752e-04	1.054640544877751343e-03	3.044790894279228812e-04	-1.757227188629366616e-04	2.596384147596947443e-03	1.451967299700663563e-03	-3.837053657496301536e-04	-3.807454435318503583e-01	1.399845407207995218e-01	6.345463879719134184e+02	6.253862068357213957e+02	6.163857959110083584e+02	6.163884132432935985e+02	6.163885440927538184e+02	-1.194294638804618836e-01
8.966248393862726734e-03	9.952828604109694721e-01	-4.341753582679724888e-02	-1.363855583057603515e-01	7.456336652016626494e-03	-1.192175293703415066e-02	-1.934532458375661304e-02	3.784528350287703902e-02	-2.603072804684535835e-01	-1.064290270071439025e-02	-4.182454564314608825e-01	-1.555501836683073069e-01	1.161391565870031117e+00	-6.826597136368611068e-03	-1.629155849471712950e-02	-5.816315338399707241e-02	6.357772168408203084e-02	-1.890025070788391992e-01	-2.905714770121270440e-02	-7.226863153043912302e-02	2.071209345244268661e+03	2.070996708683051565e+03	1.338120164096901135e+03	1.343050515200870905e+03	1.368679078143054994e+03	-1.794346710355125898e-02
5.231072055663140707e-01	5.533011433612029517e-01	-8.164580916586861373e-03	2.429525074601015557e-03	1.886756369654108145e-01	8.344703830529802413e-02	1.657882111419973103e+00	-1.614915976030772415e-01	2.139509864346327093e-03	-1.387168521869938664e-01	-4.233228580258327489e-01	1.451182921142414074e-02	-1.316467400630334230e-03	4.770406018672013193e-02	-8.653495058486901370e-02	-5.661881856662303036e-01	1.427429816633437876e-01	-4.274681443593587003e-03	-7.396905460734165549e-02	-1.339222905859570045e-01	1.596487891859636875e+03	1.595785520740438415e+03	9.023389182509826014e+02	9.570095864657399716e+02	9.678742144388734232e+02	-2.022248550153245630e-02
4.034464365074409004e-02	4.433705080621268280e-02	1.977352605170019581e-02	-9.156524954259231963e-02	4.336411279909312966e-01	1.030734852333667351e-03	4.970979475739593645e-01	-5.946569023894183736e-01	-5.107791812044867148e-05	2.388163979530949152e-02	-7.597697525388653894e-02	9.110754431353148067e-03	2.329069365088592414e-01	1.660360377002560728e-01	-4.060254055106161941e-03	1.098614108136095169e+00	2.700347000256787533e-01	4.559921214739050391e-05	7.396203548953587947e-02	6.331951706996634399e-02	1.366389488000661458e+03	1.367209633086233907e+03	7.544278689094855963e+02	7.720016226484079880e+02	7.851342993201456011e+02	-2.575697979466630080e-02
1.276156436196838051e-01	5.224507408631985650e-02	1.665986404884895744e-01	1.573038491128380789e+00	1.348077065334711382e-02	-6.441564776914460166e-03	4.524422454394663728e-01	1.581907380231368371e-02	2.530490328718082525e-03	9.931495770553522284e-03	-5.357315349157210083e-01	1.984722758015131094e-02	-3.063562731430988229e-01	6.697104285313310035e-02	2.556763433592656662e-02	-4.023245971886391104e-01	2.284887041269276220e-02	1.152544895898308629e-02	1.449570953161940200e-02	-1.868999365167762876e-03	1.158973203376812535e+03	1.159162750515696189e+03	7.612967987983552121e+02	1.015593773912628194e+03	1.041079524408153929e+03	-9.171914140014712780e-02
