# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
8.790929209712914629e-05	-1.070143934207030134e-01	-8.258385175132736122e-02	1.675695415165786850e-01	5.154311473072136331e-04	-4.455624101965421392e-04	7.616780082460675519e-03	4.183480807628914278e-02	-1.347939522857812544e-01	4.638830522131169717e-04	8.449899583476244702e-01	-1.119031701938508205e-02	-1.007677492570521416e+00	1.448766005179197769e-03	-9.078942185805844237e-04	-4.622829634966965466e-03	-1.454310223744283703e-01	-4.303530783978141983e-02	4.849493694433146262e-03	-1.219983324457677050e-02	1.048768433746737401e+03	1.048838512915952833e+03	4.581690498327707246e+02	4.600860729893544772e+02	4.647706353233700725e+02	-1.396669314520143819e-02
4.002434533463332389e-02	1.058448065317481451e-01	-9.681385581325117852e-04	-1.525404603079043905e-03	-2.272062802209380127e-03	8.239605860149243344e-02	1.161579243172740084e+00	-1.001954186567471754e-02	-1.668048361234138188e-03	2.193537790693546596e-01	-3.164099249304217105e-03	1.298162030444811703e-02	9.904607447027602603e-04	1.051982257453283262e-02	3.239683938477496555e-02	4.845866068416673778e-01	1.667874121154127448e-02	-1.604766757564425779e-03	-4.000717195500681604e-03	-8.785713719713134084e-02	6.841636515975577595e+02	6.840750191687831148e+02	5.619553554457095288e+02	1.296933579527884376e+03	1.298607360796465855e+03	-3.479406998157881792e-01
-1.032655248520601178e-03	-4.053813945747541253e-02	-3.141371257310184295e-01	3.753154859786334008e-04	1.410074392340533375e-02	5.556667781205338642e-03	6.954393971000361291e-05	-1.307513347988446262e-01	8.198333350792373631e-02	-5.056895730595093808e-04	-4.028321647642960773e-02	2.134763674503082354e-01	1.478168665004677383e-03	-3.842335132783582241e-02	2.213913919989264102e-03	-2.376169871603881108e-04	6.884169830396090310e-03	9.574318187470293173e-01	1.235422262391579727e-02	-4.133943290451749797e-01	1.106972932120212363e+03	1.107142066504780360e+03	1.092966948813725821e+03	1.093421230703128231e+03	1.114932997862011007e+03	1.882359168346450784e-02
-9.597604710327840456e-06	-3.069815121642847314e-04	2.373393670989040692e-06	6.389277738395152512e-08	-3.264099025486610657e-06	-5.220644246152478371e-04	-7.846287445616662514e-05	1.316365083754212229e-03	-1.207472370882294737e-06	-1.055482624754974726e-04	2.591864213304528213e-05	-2.737220365618647860e-08	-9.309037913669032715e-07	2.228717649941200045e-06	2.751322013868196903e-04	-3.827660670620913058e-03	-2.692962123710450302e-05	-5.607144120515393870e-08	-2.044303385510973323e-03	-7.617388409517060477e-02	7.572991102203033051e+02	7.572581958100241764e+02	7.532195830938254630e+02	7.532200399993693054e+02	7.532200926723839984e+02	-4.724355669980882799e-02
-1.407458654741495542e-02	9.586038238982451029e-05	-3.230544749898443867e-05	-4.830766456249820373e-01	6.407971453055870403e-02	2.236171200759152012e-06	9.983059572135227766e-02	-7.694842540617231885e-03	3.011628174684239166e-06	5.249676964599659691e-03	3.047376761769446293e-05	9.610581226843098544e-05	-1.562297264965670340e+00	-1.938124838007268536e-02	-4.289830158072868038e-06	2.213135766501395374e-01	6.531511381833641355e-03	-3.109439043440653664e-05	-5.522145744404001119e-03	-2.913878149049766234e-02	1.013080858726458814e+03	1.012998241972729829e+03	6.468184869774424897e+02	7.561612376835823852e+02	7.563449117499555996e+02	-5.297983040510450409e-02
8.386215384483223234e-01	3.820840621671335868e-01	1.475188120189179029e-03	4.587427574179921141e-02	6.052141491317680061e-02	1.368653028341201188e-03	-1.951056388911961981e-01	-8.733317512066537947e-02	7.423175624433508112e-03	-4.077253549377443664e-02	-3.957640823719956180e-01	-2.209563401717939892e-04	-1.735553455420879132e+00	2.041566798346061973e-01	6.434874888229514130e-06	-5.959218937458379134e-02	3.441674183318411268e-02	-2.526372100793990595e-03	-4.883748047632177104e-03	-1.353853558038404029e-03	1.515118324363659667e+03	1.515069470337082521e+03	8.847619044477554553e+02	9.288070650427983992e+02	9.334225113014840645e+02	-1.386194986098454943e-02
-1.954426408561296125e-01	-1.913959805706128697e-02	-2.854596434380828329e-01	6.176700758213768405e-02	-8.658359656249555725e-01	-1.943714174169960604e-03	-6.298739424283933408e-01	-3.893684203014155520e-02	3.009821996542553779e-01	-1.458764962121509856e-01	-1.483789204463218867e-02	3.534963224968535878e-01	-1.729292531599431124e-02	2.087450676767180213e-01	-1.317329865623580697e-02	-6.268648221182665514e-01	-4.252817049438931130e-02	-2.955165277701374826e-01	-6.989358727139085570e-01	-1.477207003489136063e-02	1.478573534746156838e+03	1.471391672088532687e+03	1.067603899907971481e+03	1.077184890324621165e+03	1.147608685514101580e+03	-1.406789091842973738e-01
-3.638790830593629936e-05	3.675697560805849039e-05	-2.397001729239729099e-03	1.516965893243001018e+00	-6.668789818054479679e-03	1.464010844216665126e-04	1.628535336393892741e-03	-7.559528536751543640e-03	3.439485924891529621e-04	1.840836095939307596e-04	3.446865902372295884e-05	-2.630931277963116698e-04	-3.784307613733384201e-01	-2.616832446804731593e-02	5.906674050202288502e-04	-3.152684923313009598e-03	-7.160046377004551654e-02	-2.671820483084570382e-04	-4.982375260756635726e-03	-6.763587306603469074e-01	9.318371902964114497e+02	9.317561498279192165e+02	5.204090227136837257e+02	1.110277123474620112e+03	1.111705933931217487e+03	-2.175917987214232574e-01
2.568483474750465206e-02	2.044351201346144859e-03	-1.190216815017345079e-03	-1.675348851627841418e+00	1.238001638822745185e-05	2.439998970902611860e-03	-2.366841500544384844e-02	-5.967684000855687058e-03	6.686702731171134586e-04	-1.720267083548947945e-02	-5.382901697265365069e-04	5.456978517036324694e-04	-7.329738861073801237e-01	8.548443041281673146e-04	-5.619972846621871555e-03	3.067744789044502332e-02	1.448311236676504132e-02	7.934325243478627119e-04	-3.421865796188710007e-01	3.442449932626792664e-02	1.021812667193201378e+03	1.016724504421808433e+03	3.438793073938388147e+02	8.081667323169550627e+02	8.081959035163527005e+02	-1.716756789096005598e-01
9.189129455333840124e-02	7.997868134095604820e-01	3.105408705375767853e-01	-1.021433840955348060e+00	6.449784981954483076e-02	-3.733102757599583710e-02	-3.043812667697872940e-02	-6.399934475933279077e-02	1.307054700180730056e-01	1.003468423820110950e-01	5.828935331762571392e-01	-4.472046752500932199e-01	8.748057054683275879e-01	-8.085798068615256129e-02	-2.821033728119274817e-02	-2.975615403488651722e-02	-9.014330263362702045e-02	-2.307217936545856996e-01	-2.188257356291312475e-02	-3.334267132445522530e-01	1.771543727259578873e+03	1.771356505581938336e+03	8.629928788090315948e+02	8.804628745018178506e+02	8.938499422965379608e+02	-2.344033743996584360e-02
